exhibit_id,title,category,subcategory,room,location_type,location,asset_number,manufacturer,era,exhibit_desc
106,Consolidated Collection of Clinton Warner personal Items: Identification for national aeronautic association 1906,Photo,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Consolidated,,Consolidated,,
107,Consolidated Collection of Clinton Warner personal Items: Pilot's book,Photo,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Consolidated,,Consolidated,,
108,Consolidated Collection of Clinton Warner: biography,Photo,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Consolidated,,Consolidated,,
109,Consolidated Collection of Clinton Warner: description plaque,Photo,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Consolidated,,Consolidated,,
110,Consolidated Collection of Clinton Warner: photograph,Photo,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Consolidated,,Consolidated,,
111,Consolidated Commodore,Photo,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Curtiss,,Consolidated,,
112,Consolidated Commodore flying boat,Photo,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Curtiss,,Consolidated,,
113,Consolidated Fleet advertising poster,Photo,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Consolidated,,Consolidated,,
114,Consolidated Fleet Model II,Photo,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Consolidated,,Consolidated,,
115,Consolidated Fleetster,Painting,,Fleet & Consolidated Ro,,Wall,252,,1930,
116,Consolidated Fleetster 17-1,Photo,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Curtiss,,Consolidated,,
117,Consolidated Fleetster 20 type 2,Photo,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Curtiss,,Consolidated,,
118,Consolidated Fleetster 20A,Photo,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Curtiss,,Consolidated,,
119,Consolidated Fleetster model 17,Model,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Consolidated,,Consolidated,,
120,Consolidated Flying Boats,Display Board,,Fleet & Consolidated Ro,,Floo,,,,
121,Consolidated P30,Photo,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Consolidated,,Consolidated,,
122,Consolidated PB30,Model,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Consolidated,,Consolidated,,
123,Consolidated PBY Catalina,Model,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Consolidated,,Consolidated,,
124,Consolidated PT3 Trainer,Model,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Curtiss,,Consolidated,,
125,Consolidated Ruben Fleet photograph,Photo,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Consolidated,,Consolidated,,
126,Consolidated unknown airplane,Model,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Consolidated,,Consolidated,,
127,Consolidated unknown biplane,Model,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Curtiss,,Consolidated,,
128,Consolidated William B Wheatley,Photo,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Consolidated,,Consolidated,,
129,Consolidated William B Wheatley Biography,Photo,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Consolidated,,Consolidated,,
130,Consolidated's Significant Contributions to advancement in Aviation,Display Board,,Fleet & Consolidated Ro,,Wall,,,,
131,Continental R-670 Engine,Engine,,Fleet & Consolidated Ro,,Floo,,Continental,,
132,Control Divert System Model From ARC Propulsion Century Program 2 stage Anti ICBM 62 inches tall,Model,,Curtiss Room,Floor,,,,,
133,Cornell Aeronautical Laboratory/Calspan Birth of an aircraft,Display Board,,Curtiss Room,Wall Display,Floo,,Calspan,,
134,Cornell Aeronautical Laboratory/Calspan Simulation display,display case,,Curtiss Room,Display Case,Floo,,Calspan,,
135,Cornu's Helicopter,Display Board,,Main room,near Ladie,Wall,,,1907,
136,Courier Express Charles Lindberg,Photo,,Curtiss Room,,Wall,,,,
137,Cunningham Hall GA-36,Airplane,,Fleet & Consolidated Ro,,Floo,,,,
138,CURTISS - SHRIEK,Photograph,,Theater,,D - 1 BX #1,204,,,
139,Curtiss Aeroplane Div. Display Case,display case,,Curtiss Room,Display Case,Floo,,,,
140,Curtiss Airplane & Motor Co. Sign,Painting,,Curtiss Room,Main Floor,Wall,,Curtiss,,
141,Curtiss AT9 Jeep,Model,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Curtiss,,Curtiss,,
142,Curtiss C45 Commando,Model,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Curtiss,,Curtiss,,
143,Curtiss F9C-2,Model,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Curtiss,,Curtiss,,
144,Curtiss F9C2 Sparrow Hawk,Model,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Curtiss,,Curtiss,,
145,Curtiss Factory floor photos,display case,,Observation room,,Floo,,,,
146,Curtiss Hawk P-1A Airplane,Airplane,,Curtiss Room,Main Floor,Floo,,Curtiss,1926,
147,Curtiss Jenny JN-4 Airplane,Airplane,,Curtiss Room,Main Floor,Floo,,Curtiss,,
148,Curtiss Jenny JN-4 artifact Display Case,Engine,,Curtiss Room,Main Floor,Floo,,Curtiss,,
149,Curtiss Jenny JN-4 history exhibit,Exhibit,,Curtiss Room,Main Floor,Floo,,Curtiss,,
150,Curtiss Jenny JN-4 Model,Model,,Curtiss Room,Main Floor,Floo,,Curtiss,,
151,Curtiss Jenny JN-4 Model built by Thomas Pastore,Model,,Curtiss Room,Main Floor,Floo,,Curtiss,,
152,Curtiss Jenny JN-4 OX-5 Engine Magneto,Display,,Curtiss Room,Main Floor,Floo,,Curtiss,,
153,Curtiss Jenny JN-4 Wing section replica,Art,,Curtiss Room,Main Floor,Floo,,Curtiss,,
154,Curtiss Jenny Tennis game photograph,Photograph,,Curtiss Room,Main Floor,Floo,,Curtiss,,
155,"Curtiss Jennys in Production; Churchill Street, Buffalo NY",Photo,,Curtiss Room,History of the Curtiss Company,Wall,,Curtiss,,
156,Curtiss JN-4D,Photo,,Curtiss Room,History of the Curtiss Company,Wall,,Curtiss,,
157,Curtiss JN4 Jenny Trainer,Model,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Curtiss,,Curtiss,,
158,Curtiss Model D Pusher Photograph,Photograph,,Curtiss Room,Hallway,Wall,,Curtiss,1911,
159,Curtiss NC2 Fledgling,Model,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Curtiss,,Curtiss,,
160,Curtiss NC4 Flying Boat,Model,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Curtiss,,Curtiss,,
161,Curtiss P-36 Pursuit,Photograph,,Curtiss Room,Hallway,Wall,199,Curtiss,,
162,Curtiss P-40 Warhawk model,Model,,Curtiss Room,Main Floor,Floo,,Curtiss,,
163,Curtiss P1-B Model,Model,,Curtiss Room,Main Floor,Floo,,Curtiss,,
164,Curtiss P36 Hawk,Model,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Curtiss,,Curtiss,,
165,Curtiss P40 War Hawk,Model,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Curtiss,,Curtiss,,
166,Curtiss P40 War Hawk painting,Painting,,Curtiss Room,,Wall,,Curtiss,,
167,Curtiss P47-G,Model,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Curtiss,,Curtiss,,
168,Curtiss P6E ,Model,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Curtiss,,Curtiss,,
169,Curtiss SB2C Hell Diver,Model,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Curtiss,,Curtiss,,
170,Curtiss SBC-2C Helldiver,Photograph,,Curtiss Room,Hallway,Wall,184,Curtiss,,
171,Curtiss unknown biplane passenger plane,Model,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Curtiss,,Curtiss,,
172,Curtiss unknown counter rotating prop,Model,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Curtiss,,Curtiss,,
173,Curtiss V-1570 Conqueror Engine,Engine,,Curtiss Room,Main Floor,Floo,,Curtiss,1929,
174,Curtiss Wright 85 years on NYSE,Photo,,Curtiss Room,,Wall,,Curtiss Wright,,
175,Curtiss Wright AT-9 Jeep Painting,Painting,,Curtiss Room,Main Floor,Wall,,Curtiss Wright,,
176,Curtiss Wright C-46 Commando painting,Painting,,Curtiss Room,Hallway,Wall,340,Curtiss Wright,,
177,Curtiss Wright P-36 Hawk Photograph,Photograph,,Curtiss Room,Hallway,Wall,316,Curtiss Wright,1940,
178,"Curtiss Wright P-36 Hawk, C-46 Commando, P-40 Warhawk Photograph",Photograph,,Curtiss Room,Hallway,Wall,191,Curtiss Wright,1941,
179,Curtiss Wright P-36A Hawk production Line,Photograph,,Curtiss Room,Hallway,Wall,325,Curtiss Wright,,
180,Curtiss Wright P-40 Warhawk painting,Painting,,Curtiss Room,Hallway,Wall,728,Curtiss Wright,,
181,Curtiss Wright SB2C Hell Diver Photograph,Photograph,,Curtiss Room,Hallway,Wall,725,Curtiss Wright,,
182,Curtiss Wright SBC-3 Helldiver,Photograph,,Curtiss Room,Hallway,Wall,202,Curtiss Wright,1938,
183,Curtiss Wright SNC-1 Flacon,Photograph,,Curtiss Room,Hallway,Wall,200,Curtiss Wright,1940,
184,Curtiss Wright XF14-C2 Fighter Photograph,Photograph,,Curtiss Room,Hallway,Wall,197,Curtiss Wright,1943,
185,Curtiss Wright XP 37 poster,Photograph,,Curtiss Room,Hallway,Wall,,Curtiss Wright,,
186,Curtiss Wright XP-46 Fighter Photograph,Photograph,,Curtiss Room,Hallway,Wall,195,Curtiss Wright,1941,
187,Curtiss Wright XP-60C Fighter Photograph,Photograph,,Curtiss Room,Hallway,Wall,198,Curtiss Wright,1941,
188,Curtiss Wright XP-62 Fighter Photograph,Photograph,,Curtiss Room,Hallway,Wall,194,Curtiss Wright,1942,
189,Curtiss Wright XP40Q Fighter Photograph,Photograph,,Curtiss Room,Hallway,Wall,196,Curtiss Wright,1944,
190,Curtiss XP-55 Ascender picture,Photograph,,Curtiss Room,Hallway,Wall,,Curtiss,,
191,Curtiss-Wright P-40 metal model  on stand 7 inch wingspan,Model,,Curtiss Room,Desk,,,Curtiss Wright,,
192,Descriptive plaque: Jay Demming,Plaqu,,Main room,On Display Case,,,,,
193,Designed and build in WNY,Sign,,Main room,On side of Display Case,,,,,
194,DH-4 Flying the mail,Display Board,,Curtiss Room,Display,Floo,,,,
195,Dick Pealer Display Table,display case,,Fleet & Consolidated Ro,,Floo,,,,
196,Dirigible,Model,,Fleet & Consolidated Ro,,Ceiling,,,,
197,Display Case,display case,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers",Floo,,,,
198,Display Case of  models of various jet airplanes,display case,,Main room,,Floo,,,,
199,Display Case of 19 airplane models,display case,,Hallway to Curtiss Room,,Wall,,,,
200,Display Case: Bell World War II Employee memorabilia,display case,,Main room,,Floo,,,,
201,Display Case: Young and Kelly,display case,,Main room,,Floo,,,,
202,Display poster of Bell Aerospace Air cushion vehicles,Display Board,,Main room,Near P-39,Wall,,,,
203,Douglas C-47 Painting (Print)   ,Photograph,,Main room,Table,G - 2,879,,,
204,Drawing of Orville Wright,Photo,,Curtiss Room,,Wall,,,,
205,Early Night Raiders German Zeppelin-Stakken R XVI,Photograph,,Main room,Table,G - 1,807,,,
206,Earthrise Photograph of the earth from space,Photograph,,Curtiss Room,Main Floor,Wall,,,1969,
207,Elias #9 photograph,Photo,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Elias Brothers,,Elias,,
208,Elias Brothers,Photo,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Elias Brothers,,Elias,,
209,"Elias Brothers Biography, Abraham and Gabriel",Photo,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Elias Brothers,,Elias,,
210,Elias Dunlop NBL-1 Bomber,Model,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Elias Brothers,,Elias,,
211,Elias EC1 Air Coupe,Model,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Elias Brothers,,Elias,,
212,Elias EM-1,Model,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Elias Brothers,,Elias,,
213,Elias EM-1 photograph,Photo,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Elias Brothers,,Elias,,
214,Elias EM-2 1922,Photo,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Elias Brothers,,Elias,,
215,Elias MBS No 52 biplane,Photo,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Elias Brothers,,Elias,,
216,Elias Stupar ES-1,Photo,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Elias Brothers,,Elias,,
217,Elias unknown,Model,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Elias Brothers,,Elias,,
218,Elias XNBS-3 short range bomber,Model,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Elias Brothers,,Elias,,
219,ELM aviation club,Photo,,Curtiss Room,,Wall,,,,
220,Evolution of the Bell fighters photo,Photograph,,Hallway to Curtiss Room,,Wall,375,,,
221,Evolution of the Bell VTOL flight Development,Poster,,Main room,Back of display case,Wall,,,,
222,Falcon 10 'French Navy plastic model airplane kit,Model Airplane Kit,,Front Desk,,,1651,Hasewaga,,
223,First Blind Flight of Jimmy Doolittle,Painting,,Fleet & Consolidated Ro,,Wall,1840,,1929,
224,First Launch of Space Shuttle Columbia,Photograph,,Curtiss Room,Main Floor,Wall,750,,,
225,first operational helicopter at Gardenville,Photograph,,Main room,,Wall,1831,,,
226,First Supersonic flight,,,X-1 display,,Wall,1855,,,
227,First supersonic flight 50th anniversary X-1 poster,Poster,,Main room,Back of display case,Wall,,,,
228,Fleet Blimp Model,Model,,Fleet & Consolidated Ro,,Ceiling,,,,
229,Fleet Cockpit Display,Display,,Fleet & Consolidated Ro,,Floo,,,,
230,Fleet Fawn,Poster,,Fleet & Consolidated Ro,,Wall,1841,,,
231,Fleet model,Model,,Wall on top of Ladies room,,Wall,,,,
232,Fleet Model 1,Airplane,,Fleet & Consolidated Ro,,Floo,,,,
233,Fleet N2Y1 information poster,Display Board,,Fleet & Consolidated Ro,,Floo,,,,
234,Fleet of Canada,Display Board,,Fleet & Consolidated Ro,,Floo,,,,
235,Fleet of the buffalo aeronautical corporation photo,Photograph,,Wall outside ladies room,,Wall,1822,,,
236,Fleet Wing Construction ,Display,,Fleet & Consolidated Ro,,Floo,,,,
237,"Fleet, Bell and Buffalo",Display Board,,Fleet & Consolidated Ro,,Floo,,,,
